LongPMPU,ShortPMPU,LongSD,ShortSD,LongMM,ShortMM,LongNR,ShortNR,LongPMPUT,ShortPMPUT,LongSDT,ShortSDT,LongMMT,ShortMMT,LongNRT,ShortNRT
2.6,25.3,34.6,30.5,27.2,18.4,8.8,6.2,7,21,20,14,43,29,34,22
3.3,25.9,29.5,30.9,29.4,15.4,8.9,6.8,8,24,21,14,55,20,41,25
3.0,24.2,27.6,31.9,30.0,17.5,9.0,4.8,8,23,19,17,57,23,43,20
2.7,22.1,25.7,30.8,31.0,18.5,8.8,4.5,11,26,19,16,58,27,42,25
1.7,22.3,25.7,32.9,35.7,19.6,8.5,4.2,9,27,18,17,53,25,40,23
1.7,24.1,25.9,35.2,38.6,20.6,9.3,4.8,7,29,17,16,54,25,42,23
1.8,23.1,25.3,35.7,38.7,21.2,8.9,4.1,7,27,20,16,59,26,42,25
1.7,21.7,27.9,34.3,32.2,23.1,10.9,3.0,6,21,22,14,49,26,49,14
1.9,21.3,28.1,34.5,31.9,22.5,9.9,3.0,8,20,20,13,53,25,40,15
1.5,21.2,28.3,34.4,29.3,22.4,11.7,2.8,8,24,19,14,46,29,41,16
2.3,20.7,27.2,33.5,27.2,20.0,11.3,3.0,9,23,18,14,43,30,42,13
2.4,19.9,23.3,30.8,25.3,16.9,10.5,3.5,9,19,21,14,45,28,45,19
2.5,20.3,23.6,29.5,24.4,17.7,10.0,3.6,11,22,19,15,45,29,40,17
2.0,23.9,29.8,31.7,26.9,18.1,10.3,3.7,9,19,18,17,45,20,40,15
0.7,25.4,29.4,31.0,26.2,21.6,16.4,4.1,4,22,18,15,39,28,46,15
0.6,26.6,23.3,35.5,36.6,16.4,15.4,5.8,5,24,16,17,55,21,42,22
1.0,24.2,23.6,34.2,32.8,19.4,16.8,5.0,6,21,16,16,51,22,45,23
1.1,23.1,24.5,33.0,30.9,22.1,16.6,4.0,6,20,17,13,48,27,44,18
1.2,23.6,25.9,25.5,23.2,26.0,15.8,3.4,7,18,21,13,45,33,56,13
2.4,23.6,26.3,22.0,22.9,27.8,13.7,3.2,9,20,21,12,44,34,53,11
2.9,24.6,26.1,21.8,26.7,25.7,12.1,3.6,12,21,21,12,52,28,45,16
2.5,26.6,25.0,27.4,32.2,20.0,13.5,5.6,8,19,17,15,49,22,43,26
2.6,27.2,25.6,30.4,29.7,19.3,15.1,4.6,9,21,18,15,43,28,45,18
2.6,25.9,26.1,28.3,25.3,24.9,17.0,3.0,9,18,20,14,39,36,48,14
3.2,25.3,26.1,27.7,26.0,24.9,14.3,3.3,11,18,20,14,44,32,52,18
2.8,25.2,25.6,29.5,25.9,21.8,14.9,3.2,10,19,21,14,43,30,52,17
2.6,25.3,24.7,26.2,23.4,25.2,17.5,3.5,11,18,21,13,35,40,57,16
3.2,25.6,25.9,24.0,23.5,27.4,16.1,2.5,11,19,23,13,36,36,56,14
2.4,27.6,25.4,25.9,25.1,22.4,16.0,2.7,10,19,19,14,45,29,59,15
2.3,28.2,26.0,27.9,23.9,18.0,17.9,4.2,8,21,21,16,42,34,58,19
2.8,26.6,26.3,28.7,22.1,18.5,15.8,3.5,10,16,22,14,37,31,56,13
3.2,25.8,26.5,27.3,19.4,19.2,16.6,2.9,14,18,21,13,36,36,59,11
2.8,24.9,25.3,26.6,22.6,17.7,14.7,3.0,13,18,24,14,40,33,60,12
2.7,27.5,25.2,30.8,24.8,16.3,14.9,3.0,12,20,19,14,44,30,52,15
2.5,29.0,23.7,31.7,32.8,15.7,12.4,4.9,5,19,16,15,52,24,45,25
3.4,29.6,23.8,34.9,31.4,16.0,13.9,3.3,6,22,17,13,55,25,47,20
3.2,28.9,22.9,32.5,24.9,18.5,16.5,1.8,10,18,19,11,38,31,59,16
2.9,31.1,24.2,34.3,27.4,15.7,13.9,2.2,11,19,18,14,44,23,49,17
3.1,31.2,22.8,34.7,27.8,15.0,13.7,2.2,10,17,17,14,46,24,54,14
3.3,31.3,22.7,32.2,28.5,16.6,14.3,2.0,10,17,19,14,45,30,59,13
3.4,31.4,23.9,29.0,24.5,18.2,15.5,1.9,11,18,21,12,40,32,67,13
3.0,31.2,22.1,27.1,24.0,19.3,16.9,2.2,10,18,20,12,46,33,71,13
3.9,27.6,23.5,24.3,21.2,23.1,17.1,2.4,12,18,22,12,38,37,78,17
3.0,29.4,24.4,25.7,24.1,20.9,14.6,2.1,11,21,22,12,40,26,67,13
4.5,26.7,23.0,23.5,21.8,24.9,15.8,1.2,12,21,21,12,40,37,70,10
5.3,25.9,23.0,21.8,21.6,27.5,15.6,1.6,11,17,24,11,39,41,73,12
4.5,29.3,22.7,23.8,24.7,21.4,14.6,2.6,11,18,22,12,48,28,67,13
5.8,29.5,25.1,23.8,23.1,25.9,14.7,1.9,10,19,25,10,37,35,65,19
3.9,29.3,23.6,30.2,28.8,18.3,13.0,3.4,7,16,19,15,53,31,52,24
3.8,28.6,21.6,35.0,31.5,13.6,14.9,4.4,4,21,17,18,56,32,47,27
3.1,27.9,18.6,35.5,34.9,10.7,15.8,5.8,5,22,15,19,55,25,57,31
4.1,26.8,17.3,35.2,33.6,14.9,16.7,3.7,6,21,16,19,47,23,63,21
4.6,27.8,16.4,33.8,34.7,14.7,15.4,3.5,6,23,16,17,62,26,60,19
5.8,29.3,16.2,33.5,34.2,13.2,14.5,5.0,6,25,17,17,61,24,54,28
5.6,29.0,15.8,34.5,34.4,11.5,12.5,5.0,8,26,19,15,61,22,48,25
3.7,27.7,15.6,35.7,34.2,11.8,14.9,3.5,9,26,19,17,66,20,57,25
3.0,26.9,17.4,38.8,33.6,13.2,16.4,4.0,7,22,21,16,54,26,56,23
2.6,27.5,18.1,39.2,33.9,12.8,16.5,4.5,9,23,21,17,59,26,54,22
2.3,28.0,17.1,39.0,35.1,12.0,16.2,4.6,8,27,18,19,63,27,57,24
3.4,26.2,17.2,38.8,33.0,13.6,17.4,4.8,9,27,19,18,71,28,69,25
3.1,26.5,17.8,38.2,33.7,13.2,16.0,5.4,9,25,21,17,70,27,60,24
2.3,26.1,17.1,38.6,31.6,12.6,17.6,5.4,8,22,18,17,60,28,64,20
