Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Date,Open,High,Low,Close,PriceDifference,RSI,RSI_LONG,MA,%K,%D,MACD,Signal Line,BIG MACD,BIG Signal Line,Upper Band,Lower Band,EMA,Percent_PMPU_Long,Percent_PMPU_Short,Percent_MM_Long,Percent_MM_Short,Percent_MM_Spread,Percent_SWAP_Long,Percent_SWAP_Short,Percent_SWAP_Spread,Percent_OR_Long,Percent_OR_Short,Percent_OR_Spread
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140603,2014-06-06,023651,NYME,1,23,986495,110597,149265,126262,44455,57448,268505,193755,208165,28798,190399,114949,914724,958436,71771,28059,986495,110597,149265,126262,44455,57448,268505,193755,208165,28798,190399,114949,914724,958436,71771,28059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6162.0,7246.0,8113.0,2191.0,-874.0,-5021.0,10970.0,9009.0,-11833.0,-4845.0,624.0,6879.0,5587.0,6897.0,575.0,-735.0,100,11.2,15.1,12.8,4.5,5.8,27.2,19.6,21.1,2.9,19.3,11.7,92.7,97.2,7.3,2.8,100,11.2,15.1,12.8,4.5,5.8,27.2,19.6,21.1,2.9,19.3,11.7,92.7,97.2,7.3,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,34.0,30.0,18.0,14.0,24.0,88.0,24.0,54.0,38.0,30.0,45.0,237,174.0,260.0,34.0,30.0,18.0,14.0,24.0,88.0,24.0,54.0,38.0,30.0,45.0,237.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,32.6,36.2,47.7,11.8,22.6,17.6,32.1,22.6,32.6,36.2,47.7,11.8,22.6,17.6,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-06-06,4.701,4.736,4.679,4.71,1.0,57.598533919888524,54.844808058665684,4.5602857142857145,100.0,54.89493764483475,0.03205404095267639,-0.03881469034731485,0.003738416141438883,-0.08558364181234665,4.805048767831321,4.315522660740108,4.571894618642642,0.13076923076923078,0.11538461538461539,0.3384615384615385,0.09230769230769231,0.2076923076923077,0.06923076923076923,0.05384615384615385,0.09230769230769231,0.14615384615384616,0.11538461538461539,0.17307692307692307
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140527,2014-05-30,023651,NYME,1,23,980333,103351,141152,124071,45329,62469,257535,184746,219998,33643,189775,108070,909137,951539,71196,28794,980333,103351,141152,124071,45329,62469,257535,184746,219998,33643,189775,108070,909137,951539,71196,28794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16898.0,-2892.0,-4193.0,-1966.0,-1342.0,-263.0,1095.0,-5.0,-6901.0,-11124.0,-7287.0,3236.0,-18815.0,-16755.0,1917.0,-143.0,100,10.5,14.4,12.7,4.6,6.4,26.3,18.8,22.4,3.4,19.4,11.0,92.7,97.1,7.3,2.9,100,10.5,14.4,12.7,4.6,6.4,26.3,18.8,22.4,3.4,19.4,11.0,92.7,97.1,7.3,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262,34.0,28.0,16.0,14.0,23.0,95.0,24.0,57.0,38.0,29.0,43.0,238,173.0,262.0,34.0,28.0,16.0,14.0,23.0,95.0,24.0,57.0,38.0,29.0,43.0,238.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,32.3,35.7,47.2,11.7,22.9,17.4,32.1,22.5,32.3,35.7,47.2,11.7,22.9,17.4,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-05-30,4.582,4.592,4.489,4.542,1.0,49.624134212177864,51.709700570909206,4.558428571428572,59.63541666666664,23.391095712891836,-0.027962172332885338,-0.03664418674442895,-0.02944961303456939,-0.07967479667784377,4.798033404832436,4.318823738024708,4.525859491523523,0.1297709923664122,0.10687022900763359,0.36259541984732824,0.0916030534351145,0.21755725190839695,0.061068702290076333,0.05343511450381679,0.08778625954198473,0.1450381679389313,0.11068702290076336,0.16412213740458015
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140520,2014-05-23,023651,NYME,1,23,997231,106243,145345,126037,46671,62732,256440,184751,226899,44767,197062,104834,927952,968294,69279,28937,997231,106243,145345,126037,46671,62732,256440,184751,226899,44767,197062,104834,927952,968294,69279,28937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26570.0,-3930.0,-5735.0,3847.0,-8396.0,-6410.0,-14484.0,-4215.0,1110.0,-2264.0,-1645.0,-1737.0,-23868.0,-27028.0,-2702.0,458.0,100,10.7,14.6,12.6,4.7,6.3,25.7,18.5,22.8,4.5,19.8,10.5,93.1,97.1,6.9,2.9,100,10.7,14.6,12.6,4.7,6.3,25.7,18.5,22.8,4.5,19.8,10.5,93.1,97.1,6.9,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275,34.0,30.0,17.0,14.0,26.0,87.0,33.0,62.0,45.0,32.0,46.0,249,187.0,275.0,34.0,30.0,17.0,14.0,26.0,87.0,33.0,62.0,45.0,32.0,46.0,249.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,31.9,35.4,46.7,11.6,22.8,17.3,31.6,22.0,31.9,35.4,46.7,11.6,22.8,17.3,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-05-23,4.374,4.411,4.358,4.405,1.0,41.9996142646739,49.03000189202302,4.569571428571429,5.04939626783757,7.500914745700723,-0.06668468365008984,-0.042652286125561135,-0.03989491474753404,-0.07548744068517958,4.812837694606188,4.32630516253667,4.520479322031363,0.12363636363636364,0.10909090909090909,0.31636363636363635,0.12,0.22545454545454546,0.06181818181818182,0.05090909090909091,0.09454545454545454,0.16363636363636364,0.11636363636363636,0.16727272727272727
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140513,2014-05-16,023651,NYME,1,23,1023801,110173,151080,122190,55067,69142,270924,188966,225789,47031,198707,106571,951820,995322,71981,28479,1023801,110173,151080,122190,55067,69142,270924,188966,225789,47031,198707,106571,951820,995322,71981,28479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51112.0,348.0,-6723.0,1586.0,6062.0,-2927.0,-26636.0,-3043.0,-20798.0,19634.0,-8652.0,-14632.0,-43425.0,-50713.0,-7687.0,-399.0,100,10.8,14.8,11.9,5.4,6.8,26.5,18.5,22.1,4.6,19.4,10.4,93.0,97.2,7.0,2.8,100,10.8,14.8,11.9,5.4,6.8,26.5,18.5,22.1,4.6,19.4,10.4,93.0,97.2,7.0,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272,32.0,27.0,18.0,13.0,25.0,90.0,29.0,58.0,49.0,28.0,42.0,243,179.0,272.0,32.0,27.0,18.0,13.0,25.0,90.0,29.0,58.0,49.0,28.0,42.0,243.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,30.8,34.9,45.6,11.1,22.4,16.7,31.0,21.7,30.8,34.9,45.6,11.1,22.4,16.7,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-05-16,4.449,4.458,4.407,4.413,0.0,42.320211997266895,49.177974537434466,4.574428571428571,5.488474204171269,12.422246615440939,-0.056383152612604626,-0.04539845942296984,-0.020589945837858892,-0.06970875701704056,4.803292015845749,4.345565127011394,4.55897242937515,0.11764705882352941,0.09926470588235294,0.33088235294117646,0.10661764705882353,0.21323529411764705,0.0661764705882353,0.04779411764705882,0.09191176470588236,0.1801470588235294,0.10294117647058823,0.15441176470588236
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140506,2014-05-09,023651,NYME,1,23,1074913,109825,157803,120604,49005,72069,297560,192009,246587,27397,207359,121203,995245,1046035,79668,28878,1074913,109825,157803,120604,49005,72069,297560,192009,246587,27397,207359,121203,995245,1046035,79668,28878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9746.0,-9788.0,-11123.0,1336.0,1062.0,439.0,-1719.0,2151.0,355.0,1105.0,157.0,-2088.0,-10360.0,-9047.0,614.0,-699.0,100,10.2,14.7,11.2,4.6,6.7,27.7,17.9,22.9,2.5,19.3,11.3,92.6,97.3,7.4,2.7,100,10.2,14.7,11.2,4.6,6.7,27.7,17.9,22.9,2.5,19.3,11.3,92.6,97.3,7.4,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,32.0,29.0,17.0,14.0,23.0,99.0,30.0,60.0,47.0,27.0,40.0,249,179.0,278.0,32.0,29.0,17.0,14.0,23.0,99.0,30.0,60.0,47.0,27.0,40.0,249.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,31.7,34.4,46.9,10.6,22.7,16.3,30.2,21.7,31.7,34.4,46.9,10.6,22.7,16.3,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-05-09,4.586,4.598,4.498,4.531,0.0,46.84068192574345,51.298439083693445,4.584714285714286,11.964873765093301,16.703256494694504,-0.015451352308443411,-0.03940903800006456,0.00989284676010005,-0.06132964082997312,4.7843229504752065,4.385105620953365,4.607629905833534,0.11510791366906475,0.10431654676258993,0.35611510791366907,0.1079136690647482,0.2158273381294964,0.06115107913669065,0.050359712230215826,0.08273381294964029,0.16906474820143885,0.09712230215827339,0.14388489208633093
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140429,2014-05-02,023651,NYME,1,23,1084659,119613,168926,119268,47943,71630,299279,189858,246232,26292,207202,123291,1005605,1055082,79054,29577,1084659,119613,168926,119268,47943,71630,299279,189858,246232,26292,207202,123291,1005605,1055082,79054,29577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7035.0,-5701.0,-6312.0,5115.0,-1368.0,-1622.0,469.0,8830.0,4556.0,-1929.0,-3396.0,-5455.0,-4567.0,-4767.0,-2468.0,-2268.0,100,11.0,15.6,11.0,4.4,6.6,27.6,17.5,22.7,2.4,19.1,11.4,92.7,97.3,7.3,2.7,100,11.0,15.6,11.0,4.4,6.6,27.6,17.5,22.7,2.4,19.1,11.4,92.7,97.3,7.3,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,30.0,29.0,17.0,14.0,23.0,104.0,27.0,57.0,41.0,30.0,44.0,249,182.0,280.0,30.0,29.0,17.0,14.0,23.0,104.0,27.0,57.0,41.0,30.0,44.0,249.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,32.3,35.5,48.7,10.7,22.8,16.4,29.9,22.5,32.3,35.5,48.7,10.7,22.8,16.4,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-05-02,4.73,4.765,4.672,4.674,0.0,52.68645524282556,53.91442057373458,4.553571428571429,19.813391877058212,20.497481231134614,0.020183899272134376,-0.02749045054562477,0.029479336540796375,-0.05177080110673422,4.8409964498503015,4.266146407292556,4.633173207778045,0.10714285714285714,0.10357142857142858,0.37142857142857144,0.09642857142857143,0.20357142857142857,0.060714285714285714,0.05,0.08214285714285714,0.14642857142857144,0.10714285714285714,0.15714285714285714
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140422,2014-04-25,023651,NYME,1,23,1091694,125314,175238,114153,49311,73252,298810,181028,241676,28221,210598,128746,1010172,1059849,81522,31845,1091694,125314,175238,114153,49311,73252,298810,181028,241676,28221,210598,128746,1010172,1059849,81522,31845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19914.0,-11442.0,-13792.0,2528.0,350.0,-5936.0,5119.0,5742.0,-11001.0,-6112.0,-1153.0,3651.0,-23193.0,-22139.0,3279.0,2225.0,100,11.5,16.1,10.5,4.5,6.7,27.4,16.6,22.1,2.6,19.3,11.8,92.5,97.1,7.5,2.9,100,11.5,16.1,10.5,4.5,6.7,27.4,16.6,22.1,2.6,19.3,11.8,92.5,97.1,7.5,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284,29.0,27.0,17.0,13.0,25.0,101.0,30.0,65.0,45.0,32.0,48.0,261,186.0,284.0,29.0,27.0,17.0,13.0,25.0,101.0,30.0,65.0,45.0,32.0,48.0,261.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,32.3,35.8,48.6,10.2,22.2,16.0,29.4,22.6,32.3,35.8,48.6,10.2,22.2,16.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-04-25,4.688,4.72,4.632,4.647,1.0,51.71113624189907,53.498664130197604,4.518,18.33150384193197,23.33798731311175,0.013149937062963524,-0.01936237302390711,0.02410493778402678,-0.04378388122349621,4.797392197457294,4.238607802542705,4.619564277037393,0.10211267605633803,0.09507042253521127,0.35563380281690143,0.1056338028169014,0.22887323943661972,0.05985915492957746,0.045774647887323945,0.0880281690140845,0.15845070422535212,0.11267605633802817,0.16901408450704225
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140415,2014-04-18,023651,NYME,1,23,1111608,136756,189030,111625,48961,79188,293691,175286,252677,34333,211751,125095,1033365,1081988,78243,29620,1111608,136756,189030,111625,48961,79188,293691,175286,252677,34333,211751,125095,1033365,1081988,78243,29620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1620.0,-17052.0,-17359.0,1652.0,519.0,-1185.0,4910.0,1660.0,4094.0,2233.0,6856.0,3619.0,-1729.0,-1796.0,109.0,176.0,100,12.3,17.0,10.0,4.4,7.1,26.4,15.8,22.7,3.1,19.0,11.3,93.0,97.3,7.0,2.7,100,12.3,17.0,10.0,4.4,7.1,26.4,15.8,22.7,3.1,19.0,11.3,93.0,97.3,7.0,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,29.0,27.0,17.0,13.0,22.0,97.0,25.0,68.0,42.0,27.0,51.0,246,186.0,265.0,29.0,27.0,17.0,13.0,22.0,97.0,25.0,68.0,42.0,27.0,51.0,246.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,31.8,35.2,48.0,10.1,21.8,15.7,28.8,22.4,31.8,35.2,48.0,10.1,21.8,15.7,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-04-21,4.756,4.789,4.687,4.697,1.0,53.46038981615475,54.34166581141311,4.513857142857143,23.347547974413636,23.818466795633952,0.008009392150855277,-0.013888019988954633,0.02058598977484305,-0.03700810532893418,4.785062916078487,4.242651369635799,4.610419036049857,0.10943396226415095,0.1018867924528302,0.3660377358490566,0.09433962264150944,0.25660377358490566,0.06415094339622641,0.04905660377358491,0.0830188679245283,0.15849056603773584,0.1018867924528302,0.19245283018867926
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140408,2014-04-11,023651,NYME,1,23,1113228,153808,206389,109973,48442,80373,288781,173626,248583,32100,204895,121476,1035094,1083784,78134,29444,1113228,153808,206389,109973,48442,80373,288781,173626,248583,32100,204895,121476,1035094,1083784,78134,29444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-210.0,5373.0,5093.0,-1151.0,-4264.0,-6822.0,13091.0,-5553.0,2582.0,-8923.0,15448.0,-9004.0,-4854.0,-2520.0,4644.0,2310.0,100,13.8,18.5,9.9,4.4,7.2,25.9,15.6,22.3,2.9,18.4,10.9,93.0,97.4,7.0,2.6,100,13.8,18.5,9.9,4.4,7.2,25.9,15.6,22.3,2.9,18.4,10.9,93.0,97.4,7.0,2.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,29.0,28.0,18.0,12.0,25.0,97.0,28.0,70.0,41.0,32.0,51.0,254,191.0,273.0,29.0,28.0,18.0,12.0,25.0,97.0,28.0,70.0,41.0,32.0,51.0,254.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,32.7,36.5,49.1,10.1,21.0,15.4,27.7,24.3,32.7,36.5,49.1,10.1,21.0,15.4,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-04-11,4.635,4.673,4.605,4.62,1.0,51.28516653483578,53.289123515101885,4.501285714285714,28.334910122989605,23.352254809208475,-0.041701858331719244,-0.01945078765750756,0.0013270128507878454,-0.032972829731068694,4.738959760788415,4.263611667783014,4.581558714733142,0.10622710622710622,0.10256410256410256,0.3553113553113553,0.10256410256410256,0.2564102564102564,0.06593406593406594,0.04395604395604396,0.09157509157509157,0.15018315018315018,0.11721611721611722,0.18681318681318682
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,140401,2014-04-04,023651,NYME,1,23,1113438,148435,201296,111124,52706,87195,275690,179179,246001,41023,189447,130480,1039948,1086304,73490,27134,1113438,148435,201296,111124,52706,87195,275690,179179,246001,41023,189447,130480,1039948,1086304,73490,27134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24689.0,4801.0,1575.0,2087.0,8393.0,-8163.0,3280.0,26137.0,-25028.0,9898.0,-20829.0,-8763.0,-21888.0,-26678.0,-2801.0,1989.0,100,13.3,18.1,10.0,4.7,7.8,24.8,16.1,22.1,3.7,17.0,11.7,93.4,97.6,6.6,2.4,100,13.3,18.1,10.0,4.7,7.8,24.8,16.1,22.1,3.7,17.0,11.7,93.4,97.6,6.6,2.4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,29.0,28.0,18.0,13.0,25.0,88.0,34.0,67.0,47.0,26.0,49.0,242,193.0,268.0,29.0,28.0,18.0,13.0,25.0,88.0,34.0,67.0,47.0,26.0,49.0,242.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,32.5,37.8,48.8,10.1,20.9,15.4,27.9,25.1,32.5,37.8,48.8,10.1,20.9,15.4,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2014-04-04,4.431,4.478,4.404,4.439,1.0,46.22065364237171,50.81419629039234,4.717714285714286,19.772942289498587,18.511510564490713,-0.10903124017467736,-0.03736687816094153,-0.01091145835581031,-0.03065058011262044,5.985724124943058,3.449704446485514,4.568744952977522,0.10820895522388059,0.1044776119402985,0.3283582089552239,0.12686567164179105,0.25,0.06716417910447761,0.048507462686567165,0.09328358208955224,0.17537313432835822,0.09701492537313433,0.1828358208955224
